epoch,train_loss,test_loss,ci
1,32.48080448361186,0.8409017324447632,0.5649345657706369
2,0.8636819952494138,0.6381054520606995,0.623485269541125
3,0.773151886927617,0.5870499014854431,0.6625819616454458
4,0.722627108747309,0.5366290211677551,0.6889006140154148
5,0.6697438904991397,0.5211511850357056,0.7045058143898159
6,0.6416223823250115,0.5032857656478882,0.7135406781323412
7,0.6241987138599544,0.49168601632118225,0.7185515814265918
8,0.5922347051756722,0.4810655117034912,0.7235052132936299
9,0.5879302206751588,0.5309788584709167,0.7253631206612855
10,0.5785015012536731,0.4744057357311249,0.7296108179192706
11,0.5629656450314955,0.479248046875,0.7346560414969778
12,0.5396436638646311,0.45723384618759155,0.7360815558659494
13,0.5297882510470105,0.44635501503944397,0.7384061055609612
14,0.5393180270473679,0.46034112572669983,0.7373611817399282
15,0.5266095020554282,0.43761059641838074,0.7415527373891925
16,0.5045804694875494,0.5155081748962402,0.7438383601978154
17,0.5193309365928948,0.5201098918914795,0.7448332390635344
18,0.5441739067628786,0.4799831211566925,0.747029207772911
19,0.5001044884904638,0.42399662733078003,0.7465490840364998
20,0.48351499670511716,0.5491170287132263,0.7508595162401038
21,0.4882579438098065,0.6309688091278076,0.7536718527882529
22,0.5005001464447418,0.41926127672195435,0.748069541365193
23,0.5039641690718664,0.4113835394382477,0.7524762100888207
24,0.4902407472783869,0.43045729398727417,0.7520855930840262
25,0.5053653329997868,0.6745943427085876,0.7540911519001664
26,0.48255421008382526,0.5098226070404053,0.7542979468905622
27,0.47513532251506657,0.41852667927742004,0.7532015317282234
28,0.489986850456758,0.42613473534584045,0.7523859665190571
29,0.47020235735100585,0.4167884886264801,0.7556611356684407
30,0.46500257315573756,0.40387120842933655,0.7550775052756247
31,0.4859025350638798,0.41231030225753784,0.755571536149798
32,0.4636140202547049,0.6250615119934082,0.7522473317862644
33,0.509629388521244,0.45928359031677246,0.7531722383183455
34,0.45488140838486807,0.48330745100975037,0.7559116551802696
35,0.45090180364522064,0.4138904809951782,0.756412121107591
36,0.5144811535810495,0.41059139370918274,0.75726383505043
37,0.4421192639833921,0.3853711187839508,0.759339442613053
38,0.47165873569327516,0.4032745361328125,0.7611457713104371
39,0.42391537884613134,0.4539676904678345,0.7614614928111614
40,0.4796744538592054,0.3747885227203369,0.7620028614427171
41,0.44756523626191275,0.38142189383506775,0.7512575180005465
42,0.441890456459739,0.48150184750556946,0.7646161425300413
43,0.44734807409249344,0.4672805368900299,0.7653188459673694
44,0.4162695911023524,0.3642688989639282,0.7671935587028308
45,0.4673886128834316,0.3973502814769745,0.7635266208979197
46,0.41120162722352266,0.4478151798248291,0.766552651424742
47,0.40961555536691246,0.5230301022529602,0.7693977472510889
48,0.4072453917621018,0.3604215681552887,0.7694938364034832
49,0.41608385567541245,0.3685931861400604,0.76897237331801
50,0.42334960884862133,0.3689492642879486,0.7673676271633909
51,0.37631930585031387,0.36718136072158813,0.768585467794251
52,0.3842169156709275,0.36799073219299316,0.7721749284325482
53,0.37451402397898886,0.4843604862689972,0.7648125180832361
54,0.395267571334715,0.3665946424007416,0.7614326742525337
55,0.3766157344564215,0.35476475954055786,0.772852999643534
56,0.4287968483064082,0.38624170422554016,0.7663097568232168
57,0.40290196452822,0.3570065200328827,0.7718266659760401
58,0.35081403905695135,0.3644636571407318,0.7703824250020208
59,0.347789567205813,0.3594781160354614,0.7756267968275788
60,0.3446941472493209,0.3452535569667816,0.7751519237452206
61,0.35413113507357513,0.3459763526916504,0.7732556189230297
62,0.34739949583233176,0.4038107097148895,0.7758822013034176
63,0.3479286482581845,0.3374439775943756,0.7770457396918936
64,0.3361840242302263,0.5062883496284485,0.7713112886278529
65,0.3427290784848201,0.43226107954978943,0.7747728942025411
66,0.35275802209779816,0.3894188702106476,0.7720790739767488
67,0.32127922560487476,0.42654934525489807,0.7790075521543592
68,0.3595785905014385,0.3748989999294281,0.7774511589563469
69,0.31361779996326994,0.35787850618362427,0.767084517573235
70,0.3275353473115277,0.4380534589290619,0.7734950312820542
71,0.3421999800514865,0.3396536707878113,0.7783193071188881
72,0.3007168315060727,0.3420978784561157,0.7781405993070337
73,0.29748289983767967,0.33134913444519043,0.7846444949703155
74,0.28930361201236776,0.3532325029373169,0.7744244134236191
75,0.3100369158503297,0.39354613423347473,0.7767586402596246
76,0.30041416531259363,0.3347814381122589,0.7798601339287932
77,0.2719229088201151,0.3329165577888489,0.7754195815665365
78,0.27743167110851835,0.3814355432987213,0.7836128669842858
79,0.30338015010604613,0.368325799703598,0.783313661574169
80,0.27821169348506186,0.34040573239326477,0.7748320541186332
81,0.2681974381595463,0.3399178683757782,0.7784992266201393
82,0.27503797837666105,0.3425953984260559,0.779981379281323
83,0.2532488051560018,0.3416319191455841,0.7834389950138981
84,0.2554155379146725,0.33106568455696106,0.7841031972935444
85,0.26777851968616634,0.3309003710746765,0.7861829966465131
86,0.23985922588156416,0.3465403914451599,0.7802707547247563
87,0.24593980513609848,0.33693695068359375,0.7848814020796411
88,0.24898185880927295,0.3817824721336365,0.7777520672812915
89,0.2471837331722309,0.34111469984054565,0.7822941723143492
90,0.21904793865494915,0.33602628111839294,0.7874035444753049
91,0.2277743092605046,0.3332086205482483,0.7889061157402437
92,0.2223005975995745,0.3681967258453369,0.7826737258308218
93,0.21796156620824492,0.3464164733886719,0.7745585943791694
94,0.21044831074677506,0.3774475157260895,0.7890867829957623
95,0.20661281881394325,0.36768174171447754,0.7851087684994815
96,0.22407292952011157,0.3449063003063202,0.7842379840937931
97,0.20053836548483217,0.3355047404766083,0.7848398444081653
98,0.194638081378751,0.3260434567928314,0.7859369745764095
99,0.19112927456954856,0.3842369318008423,0.790937769542899
100,0.19075683185032435,0.36010193824768066,0.7802651492967808
