epoch,train_loss,test_loss,ci
1,46310718.7,20519352.0,0.4642138145839003
2,18206527.1,17066310.0,0.5065027851576086
3,16575217.7,16425401.0,0.5631061686366948
4,16299598.95,16406424.0,0.5956742338883024
5,16241559.65,16087484.0,0.6181594940938976
6,16006462.55,15910892.0,0.6331500759713745
7,15757552.25,15721879.0,0.6430464942361764
8,15516971.1,15461273.0,0.647700343965548
9,15100625.05,15128881.0,0.661689460631574
10,14716084.25,14957859.0,0.6759876393555152
11,14357081.45,14789763.0,0.6902597821280959
12,14211506.2,14306489.0,0.7117599644563318
13,13722201.45,13758704.0,0.7230661529109802
14,13503758.9,13618006.0,0.7302373728316073
15,13370950.45,13181360.0,0.7384811207956342
16,12985873.1,13293039.0,0.7447724787129296
17,12839968.75,13257947.0,0.7466299141135225
18,12830804.35,13816751.0,0.7525843361896813
19,12735869.75,12542436.0,0.7565753412279443
20,12202423.45,12482731.0,0.76102963304777
21,12082538.25,12674504.0,0.7635863634713764
22,11908228.7,12187698.0,0.7669443885862678
23,11868973.65,12038329.0,0.7699720634241901
24,11627567.55,12018016.0,0.7711075372088204
25,11794284.3,12016029.0,0.7729648194567583
26,11573482.45,12476736.0,0.7720622908604775
27,11522269.05,11771122.0,0.7779566770958519
28,11354373.5,11757677.0,0.7787918185239056
29,11210267.2,11765883.0,0.7811298469560833
30,11395462.4,11717299.0,0.7829701292593093
31,11139199.95,11556943.0,0.7853276080786801
32,11284280.8,12186499.0,0.7848269520492821
33,11082905.35,11853095.0,0.7844065480111366
34,10863412.6,11428417.0,0.7889492089129332
35,10731359.05,12141672.0,0.7876870778825665
36,10944718.05,11473191.0,0.7906588520013912
37,10605421.7,11425008.0,0.7916238668809374
38,10527036.8,11611429.0,0.793063501838521
39,10541864.05,11638584.0,0.7878818880598055
40,10788988.1,11454403.0,0.7905566991804648
41,10378813.3,11526263.0,0.7909115538822437
42,10428040.75,11371420.0,0.7918810101887866
43,10477195.3,11750848.0,0.7906305187602047
44,10264825.0,11318069.0,0.7934396447593536
45,10159627.375,11600874.0,0.7925732601896673
46,10237041.8,11320186.0,0.792088838341706
47,10213589.225,11365062.0,0.7907164373996945
48,10323051.9,11285245.0,0.789646819256741
49,10243818.45,11868151.0,0.7927919621810959
50,10295013.625,11346274.0,0.7899698182062669
51,10225051.35,11467198.0,0.7883462469099537
52,10178078.85,12091692.0,0.7913475794912055
53,10185475.4,11280345.0,0.7890124609594739
54,10076280.9,11378266.0,0.7885036878393575
55,10270479.2,11208944.0,0.7904174834170133
56,9883550.05,11300411.0,0.7908740314817535
57,10290524.95,11619204.0,0.7921150274457216
58,9920317.15,11237221.0,0.7913670298783984
59,9860949.525,11261224.0,0.788872173127437
60,9885472.675,11270583.0,0.7926669896145653
61,10048631.85,11512774.0,0.7870467466317519
62,9877936.525,11412442.0,0.7925055667161298
63,9807747.725,11648210.0,0.7895795852411687
64,10222599.925,11062771.0,0.7915131375113276
65,9862026.925,11096998.0,0.7915918579760295
66,9511553.875,11129058.0,0.7926094042162619
67,9526188.625,11058064.0,0.790774175950653
68,9471605.8,11215103.0,0.7908034281077698
69,9641033.25,11348132.0,0.7930693216394135
70,9476431.875,10992479.0,0.7931376277235711
71,9375384.0,11268009.0,0.7903295737930077
72,9503402.7,11376942.0,0.7863984514428741
73,9429057.8,11523333.0,0.7942815249042298
74,9342549.6,11159972.0,0.7924809091386649
75,9076060.125,11190972.0,0.7927250344708339
76,9063931.05,10886215.0,0.7928798718051016
77,8969693.925,11021281.0,0.7909925716367715
78,8988459.875,11196926.0,0.795105792493774
79,8834564.8,10878013.0,0.7941812099151642
80,8769553.025,10815460.0,0.7962746535572078
81,8704209.175,11004943.0,0.795636313290909
82,8550412.25,11261663.0,0.7953897375162591
83,8845612.95,11586158.0,0.7823297980084948
84,8942316.65,11537064.0,0.7978430898976986
85,8592417.15,11426498.0,0.7935644641732291
86,8501910.275,10751082.0,0.7956104304922035
87,8308402.825,10611127.0,0.8004445408965832
88,8228276.175,10856512.0,0.7918119383413537
89,8125138.575,10601824.0,0.7979415670549035
90,8168823.175,10562616.0,0.8035209182788153
91,7849244.725,10767280.0,0.7920292619588868
92,7938874.75,11147713.0,0.7956477997400386
93,8146466.425,11128724.0,0.8003350367482138
94,8118950.925,10562366.0,0.7971808578172102
95,8091614.05,10686292.0,0.8016521495817478
96,7842908.35,10646413.0,0.8027671009105998
97,7603651.75,11414478.0,0.7952163687107288
98,7983264.8,10727458.0,0.791001148185455
99,7710638.275,10522026.0,0.8050700573847683
100,8055873.55,10797237.0,0.7955425838660111
